1_BER_CK_1	11_BER_CK5	13_BER_CK6	19_2_CK_7U	17_8_CK_7	3_40_CK_2	5_41_CK_3
DHA2_153076	-1.92729218025468	-2.37630566768701	-2.33916380811601	2.29029308661248	1.40161164668945	1.21679394407629	1.73406297867948
DHA2_153723	-0.670744932231568	-0.84653251686024	-0.743700116826005	-0.0749619092075697	-0.441007637758801	2.09014594032596	0.686801172558228
DHA2_4606	-0.200203041433582	-0.850060734927254	-0.575295061481183	-0.0681481455671129	0.16187617638084	0.843887104515112	0.687943702513184
DHA2_154299	-1.60775000745709	-1.42231472433495	-1.48881413035499	1.95424657097769	-0.0116168581914007	1.30838702419408	1.26786212516667
DHA2_8064	-0.567440915116432	-0.89696758300653	-0.992752499753703	0.138051970099612	0.570900038562083	1.38809562869284	0.360113360522123
DHA2_153915	-0.842348440868703	-1.5293027372065	-1.98816724914188	-1.03784027647822	1.71701945988036	2.37787227230722	1.30276697150772
DHA2_153798	0.915848592359476	0.639315144323412	0.634047575900984	-0.346634948175479	-0.268606568673587	-0.940397492290312	-0.633572303444492
DHA2_153805	1.29461368752861	0.69764003379013	0.784831420058726	-0.709601953822693	-0.934650134582483	-0.145248352878106	-0.987584700094189
DHA2_154042	-2.29787261877186	-3.4483334155178	-3.08802593592814	-3.23079377485444	-3.11811755113434	7.79865876996501	7.38448452624157
DHA2_15589	-0.375049840985946	-0.465165991940459	-0.725832977568182	0.391048333720441	0.164395538918926	0.60546388988465	0.405141047970574
DHA2_151972	-0.916725347420903	-1.82209065682882	-1.26113880688528	1.42296925152182	-0.845239205531818	1.82483613029767	1.59738863484734
DHA2_151641	-0.901070489312805	-1.13110135729999	-1.52835507939136	1.25254312507929	-0.514293432565183	1.3422551373518	1.48002209613824
DHA2_153974	-0.745839744154652	-0.825394131439731	-1.22771764620239	0.589954048573819	1.81046734878379	0.301814721305366	0.0967154031337998
DHA2_154105	0.973062109802298	0.714271254849914	0.970894354268937	-1.2160681628415	-0.517037672371806	-0.273450568581453	-0.651671315126393
DHA2_12074	1.01384242063743	0.571810894926864	0.929062098107572	-0.632026261107915	-0.527201194490761	-0.669101893944854	-0.686386064128339
