1_BER_CK_1	11_BER_CK5	13_BER_CK6	19_2_CK_7U	17_8_CK_7	3_40_CK_2	5_41_CK_3
1_BER_CK_1	1	0.965913264840256	0.957735069144939	-0.668621874965347	-0.602336373456581	-0.822320524014532	-0.860078637889888
11_BER_CK5	0.965913264840256	1	0.975256201600828	-0.706927792286322	-0.566688030942065	-0.830831312292487	-0.862714411974613
13_BER_CK6	0.957735069144939	0.975256201600828	1	-0.700387594298151	-0.594633883137683	-0.822215706649783	-0.843759848523298
19_2_CK_7U	-0.668621874965347	-0.706927792286322	-0.700387594298151	1	0.435550596922445	0.335357537719331	0.36676261101506
17_8_CK_7	-0.602336373456581	-0.566688030942065	-0.594633883137683	0.435550596922445	1	0.170470946528454	0.241444207542979
3_40_CK_2	-0.822320524014532	-0.830831312292487	-0.822215706649783	0.335357537719331	0.170470946528454	1	0.938595289410258
5_41_CK_3	-0.860078637889888	-0.862714411974613	-0.843759848523298	0.36676261101506	0.241444207542979	0.938595289410258	1
