Geneid,2_CK_7U,2_CM_7U,24_CK_4,24_CM_4,40_CK_2,40_CM_2,41_CK_3,41_CM_3,8_CK_7,8_CM_7,BER_CK_1,BER_CK5,BER_CK6,BER_CM_1,BER_CM5,BER_CM6
DHA2_10013,7892,14770,6552,6975,9328,13932,7035,9833,6393,13215,8675,6188,7245,10149,10672,10777
DHA2_10016,12249,10873,12642,10291,14927,11716,12940,11354,13361,13826,16907,12395,16452,14032,14936,16961
DHA2_10019,29500,21306,28529,22867,28475,22213,20653,19740,22852,21992,31471,24182,25640,20644,24740,23806
DHA2_10025,847,641,660,619,623,543,563,647,778,722,1072,937,993,689,876,877
DHA2_10027,1819,1179,1008,793,794,681,1220,968,1600,1222,2639,1705,2070,1511,1372,1809
DHA2_10033,4010,4731,4128,3853,4232,3369,4005,4216,3880,5583,6388,4361,4968,6865,6948,6449
DHA2_10034,8501,6871,9479,8112,7098,4348,5966,5650,8868,8543,16959,10931,12880,11005,12683,12106
DHA2_10038,6193,4048,4020,2975,2182,2397,4482,3117,4494,4261,7892,5690,6578,5891,5194,6841
DHA2_10055,3302,3976,2972,2737,3061,3368,2063,1988,3012,4702,3882,2650,3188,3838,3915,3763
DHA2_10056,1277,1424,1319,1265,1312,1040,1047,1102,1246,1593,1590,1203,1151,1465,1740,1586
DHA2_10073,3285,2621,2536,2123,2915,3128,1984,1970,2936,3534,4145,3066,3760,3060,3501,3209
DHA2_100845,3811,5018,3183,3816,4446,4658,2415,3736,3423,5458,4175,3285,3759,4326,5011,4728
DHA2_100864,42018,35020,35067,26909,30420,25593,35261,31449,37324,39379,48126,35865,46470,34667,38939,44288
DHA2_100906,46640,49760,66803,59954,53043,44781,47132,52212,56782,62248,83334,61374,66318,52056,70295,52355
DHA2_10091,34355,25749,33249,19036,33776,24900,29803,24035,32148,30077,38828,27727,36393,28187,28198,32337
DHA2_100955,12360,9504,6182,4290,5169,3836,8847,4467,11949,6859,16690,11471,11777,9417,8682,10582
DHA2_100959,4146,4287,3373,3202,2677,2498,2793,3084,4016,5043,4909,3698,4159,4345,5059,5072
DHA2_101138,33376,28057,38660,30179,25146,15746,26926,22003,40384,35185,60116,42970,49029,29603,43100,32878
DHA2_101168,15811,8058,10954,7724,6431,3767,11366,7223,15294,8665,26372,17068,21792,13190,13446,17751
DHA2_101278,109333,81503,90627,70838,52770,42918,76707,62894,99475,90833,111877,81919,92215,78936,89301,99424
DHA2_101339,10113,9375,8122,7491,10954,12443,9180,9368,7835,13530,9682,6887,7888,10769,9642,10864
DHA2_10137,6770,5711,5992,5536,7021,6305,4625,4821,7150,6298,8777,6385,7370,6356,7336,7762
DHA2_10139,2963,5071,2773,3125,4218,4134,2833,4275,3039,5729,4494,2816,3480,4000,4671,4530
DHA2_10141,1952,2345,1891,1737,2169,2008,1816,2250,2171,3096,2138,1656,1650,2036,2327,2152
DHA2_101501,31355,21868,22780,18659,26539,21610,21614,17187,22423,22475,30855,22979,26671,23401,25251,26231
DHA2_101594,13216,11103,12589,10585,8830,6477,9045,7972,8061,7096,13506,11031,12649,9681,12731,10896
DHA2_10167,125067,101317,83974,68757,57973,60060,85411,71688,100639,74955,147647,105598,130549,79202,99094,116582
DHA2_101768,946,646,798,552,744,513,554,454,794,601,1294,868,1036,670,764,898
DHA2_10181,14961,15868,13597,15377,16349,19378,11105,14820,15173,24170,19647,15358,17175,18820,19858,21015
DHA2_101810,25066,24139,36008,31512,32546,25905,19165,23175,24087,28835,32484,25532,27933,24253,30463,28283
DHA2_10182,848,831,890,888,770,958,601,706,796,1091,785,737,849,604,1072,845
DHA2_101850,3989,5572,4887,4238,5533,5686,4627,5505,4013,5145,4924,3529,4164,5103,5332,5079
DHA2_101906,9108,8632,11165,10141,11488,12926,7713,9482,9083,16379,14710,10610,13070,13432,14374,14684
DHA2_101918,7079,10840,7241,6655,11761,14196,7386,8479,6696,12690,5738,4213,4864,6274,7015,6177
DHA2_101919,3016,3901,2687,2687,2485,3483,2990,3542,3111,4037,3528,2438,2855,2982,3411,3368
DHA2_101943,759,510,433,372,355,401,394,445,607,625,814,652,646,468,530,633
DHA2_101955,10524,6927,8673,6763,7380,4516,8339,6171,10226,7412,14926,10487,11480,8597,9391,10594
DHA2_10196,10363,5324,7769,4203,4861,2111,8349,4830,9342,4826,11186,8627,11004,6334,8387,8757
DHA2_102023,17166,9871,12153,9304,8653,5619,9352,6604,17665,11985,22667,16299,19533,12921,14600,17929
DHA2_102034,20009,13575,14878,11695,12914,10339,12391,10921,15563,13845,21447,16620,21235,14718,16085,19365
DHA2_102056,6603,6404,6133,5585,7379,5054,5858,6465,6400,7632,11549,7444,8644,8061,8942,8881
DHA2_102101,44446,59707,41987,46318,43790,47492,44335,56034,48975,70382,65301,47241,55728,68949,77568,80950
DHA2_102108,103822,108120,85310,86435,76489,90150,75808,83833,100846,120288,139494,101323,125480,106091,126213,121358
DHA2_102170,2311,4381,2605,3139,4388,4499,2301,3951,1904,4355,3034,1751,1975,3842,3225,3127
DHA2_102184,6501,7167,9117,8223,7934,5804,5184,8197,6558,11120,7481,5837,6141,5841,8060,5930
DHA2_102248,4906,4934,3882,3645,3389,3363,3417,4523,4465,5750,6900,5217,5585,4443,5628,5870
DHA2_10231,27027,15834,19864,13750,15424,14276,22391,13228,20745,16719,33766,22827,30582,22693,22203,27421
DHA2_10232,12132,10274,8987,8044,16140,17605,11339,11610,11534,16518,18369,13277,14394,14730,14189,14516
DHA2_102322,14048,12042,10277,9143,8340,12540,7002,8842,10394,10905,3391,7291,3743,5124,9713,6651
DHA2_102455,24342,12222,17609,12940,16733,11772,17478,11846,21631,14315,36890,23870,26741,17543,17019,22304
DHA2_10254,11853,8323,11754,9130,7888,6298,8736,7394,11399,8166,17832,12846,15933,11112,13237,14185
DHA2_10255,73030,75180,58848,48443,62131,79170,61564,68818,60581,92029,92379,67877,90681,99650,110455,96390
DHA2_10256,2718,6642,3602,4378,7777,11424,2638,6114,2320,9107,3450,2695,2933,5932,6333,4198
DHA2_10260,6167,10517,7491,9202,8818,11151,6170,8974,5829,12364,6585,5950,6867,10785,12780,11081
DHA2_10261,1762,3144,2616,3235,2511,3379,1411,2780,1688,3579,2603,2094,2235,2618,3224,2700
DHA2_102647,3701,4399,4040,3874,4319,3558,3907,4519,2113,2913,4128,2909,3542,3791,3974,4119
DHA2_10269,2531,2252,2580,2230,1694,1950,1783,1821,2305,2550,3824,3077,3635,2807,3262,3465
DHA2_102722,20180,24463,16496,17051,14690,15860,14578,16109,13821,22215,20655,14728,19438,16664,21020,22615
DHA2_102890,10143,11177,8567,7845,10547,13589,7944,8729,7749,11424,7813,6011,6646,8245,8217,8467
DHA2_10291,4808,4933,5326,5010,5539,3536,3653,4440,5196,5464,7182,4589,5220,5351,5749,5551
DHA2_102961,5694,7353,6656,6804,7782,6941,6488,8196,7678,11430,9223,7153,7987,7892,10280,9641
DHA2_102963,6305,6736,6779,7651,8350,9030,6549,7764,7113,8822,9107,6108,6907,9643,9053,8254
DHA2_10297,8750,9002,7062,7066,8148,7926,7354,8090,6646,8340,10249,7564,8917,8482,10154,10127
DHA2_10299,7428,9654,6564,5307,11156,14648,8603,10199,6855,15239,9585,6886,7598,10796,10152,8756
DHA2_10303,3288,2812,2696,2181,3102,2442,3188,3040,3703,4068,4104,3392,3913,3581,3800,3828
DHA2_103059,77036,75776,73326,73477,50251,47189,62516,59076,77565,87351,126360,85233,99029,77922,95241,95544
DHA2_103074,18837,19237,16656,17896,15037,14006,11766,14820,14376,18209,13551,11028,11572,11068,14068,11234
DHA2_10311,944144,319803,654013,215454,392493,249972,662662,229724,458622,197870,488046,428365,423268,207833,244384,198645
DHA2_10313,6838,3300,6230,2830,4218,2519,4618,2533,4763,2768,5494,5014,4866,2625,3551,3073
DHA2_10315,2560,6603,3430,3825,6168,6310,3687,7358,2664,9382,3161,2236,2433,4688,5430,3940
DHA2_103164,5667,6047,4759,4869,4032,4391,2983,4440,5370,7046,6935,5009,5989,5689,6456,6893
DHA2_10324,6423,4584,4661,3252,5047,3464,5840,3707,5112,3763,6298,4364,5163,5070,4834,5046
DHA2_10329,1566,2010,1211,1116,1631,1955,1558,1665,1089,1916,864,823,642,1450,1550,1165
DHA2_103365,10877,10254,9917,8981,10731,8510,7296,8821,11358,11598,13766,10559,11520,9966,11650,11014
DHA2_10341,7763,6470,4757,3701,4493,4173,5107,4149,4991,5357,5920,4373,5983,5573,6054,7001
DHA2_103437,9140,9702,12236,11615,10340,9608,8861,8316,7664,10409,8962,6469,7232,9668,9263,9501
DHA2_10358,46198,47743,42978,46978,53101,44905,78896,59124,60702,50133,51253,32407,38745,57991,55775,50797
DHA2_10361,4166,4736,3157,3768,2816,2987,2952,4481,4022,5550,4390,3902,3785,3480,5390,4475
DHA2_10367,38364,33967,35609,19876,31878,29527,35869,28036,30295,29131,36599,26228,33008,33284,30854,33388
DHA2_103676,273891,122866,177352,94048,107227,89262,166059,98307,254417,117537,186522,158949,194209,90601,100620,128868
DHA2_10370,31870,41510,18084,17440,14570,21709,22876,28416,28318,32713,34977,25507,34589,25292,32208,37724
DHA2_103713,58148,70231,35933,34912,118456,136453,48434,43647,49125,114850,40524,31336,32834,49725,48714,43179
DHA2_103783,4829,5139,3235,2415,1611,2332,2943,2859,3276,2708,4982,3694,4751,3472,3958,4359
DHA2_10382,2767,2100,2236,2188,1982,1411,1673,1772,2901,2393,3588,2873,3008,2132,2597,2689
DHA2_103838,15487,13287,13232,12346,11291,8629,11844,12307,15497,15197,23082,16618,18616,13474,17827,17824
DHA2_104031,21046,33573,18131,22705,33752,54915,17516,32778,20159,47415,25456,17509,22031,38861,36896,33039
DHA2_104150,20748,14832,19446,15086,15632,13324,18140,14158,20742,18705,32747,22514,27342,18124,18304,24234
DHA2_104173,57982,48611,40019,36412,32915,34029,36368,37143,46710,55077,67103,50554,63832,48086,55048,65139
DHA2_10422,6501,8976,5734,6192,11379,14540,5900,9600,6468,15527,8586,6415,6953,13039,10935,8066
DHA2_10423,7706,21800,7675,12037,25704,38799,12612,25602,6916,35892,9214,5989,6497,23279,19268,10606
DHA2_104248,3543,4588,2906,2293,3002,3001,3192,3612,3546,4575,4556,3247,4373,3995,4402,4804
DHA2_10425,551,2294,528,951,1177,3447,586,2248,579,3555,568,497,512,1853,1992,925
DHA2_10428,80588,73820,78533,53205,73270,56059,90692,74679,82050,81496,86320,62008,83147,76490,83499,86388
DHA2_10429,49789,200358,36387,68403,152567,253415,96555,191262,49966,238636,65593,49440,40595,149232,147073,79988
DHA2_10450,7656,4945,7135,3950,4159,2990,8563,4312,8351,4631,11353,7465,8021,9590,8541,8749
DHA2_10459,3859,4221,3700,3413,3735,3516,3917,3474,3299,4404,4574,3254,4311,4647,5199,5313
DHA2_104685,15346,9449,10840,7501,10298,9021,11403,7139,13981,9725,19394,13015,14483,14109,11614,13798
DHA2_104866,10367,8096,5604,4519,5243,4325,8762,5937,8647,8138,12335,8768,9931,9079,9704,10234
DHA2_104982,1808,1342,1633,1269,1674,1033,1689,1131,1296,1314,1846,1161,1176,1584,1197,1128
DHA2_10516,12367,16711,14706,14273,14657,13044,11656,14450,6565,8252,12113,7758,9050,11969,10479,11326
DHA2_10521,58606,44242,39047,30389,31037,31093,36044,25419,53790,36746,64466,46287,72673,40510,45252,62839
DHA2_10522,6080,3351,3824,2334,2917,2544,3443,1916,6085,3353,9214,6534,7090,4403,4764,5660
DHA2_10524,26026,17228,13637,7774,7536,7863,12800,7682,24047,11824,26186,20226,28175,14812,18444,23242
DHA2_10527,8466,4525,4186,3108,2976,2931,4605,2367,7949,4419,13085,8239,9138,7520,6359,8545
DHA2_10529,3057,3144,2779,2311,2533,2035,1990,1936,3297,3377,3586,3055,3124,2658,2963,3293
DHA2_10530,6696,5494,4359,3277,3760,3260,4340,2769,5664,5023,7002,5162,5471,5856,5490,6292
DHA2_10538,46047,50175,44518,42607,30522,19137,29653,29865,41091,33079,62817,41764,45345,37560,51443,41457
DHA2_10552,3452,12586,3474,6179,19246,32873,6646,17833,3757,32402,4375,3199,3638,10664,11306,4921
DHA2_10568,6737,7513,4853,4399,3354,5195,5277,5703,5546,6986,7364,5131,7505,7035,7563,8481
DHA2_10569,4216,4699,5122,4441,4845,4938,4625,4321,4768,5794,6202,4393,5527,5920,6443,6316
DHA2_10570,28431,22215,14948,12271,10908,11385,19182,14776,21967,25066,22675,16909,25375,22372,25629,30211
DHA2_10577,17173,24670,17928,19265,20411,26827,18085,22761,15803,28250,20681,14714,18696,21980,24738,23762
DHA2_10606,2148,2648,1736,1854,2608,2959,1883,2758,2047,4172,3947,2568,3325,5421,4660,4323
DHA2_10608,26240,20694,17088,14713,12918,13320,15848,12391,22735,19203,51866,35589,46490,33656,33718,44451
DHA2_10609,9088,7998,8262,6717,9260,8176,9233,7963,9381,8819,19537,14413,15759,13854,15194,15123
DHA2_10612,12873,21667,14123,14549,16450,19802,10238,13201,7869,11811,33563,23877,28953,36488,37869,37443
DHA2_10661,21085,24590,17707,16747,26743,23813,17693,20321,22347,29137,29109,20563,23799,23259,26403,26110
DHA2_10666,3702,4438,3334,3630,2364,2522,2604,3536,3727,3898,4698,3534,4097,4466,4384,4979
DHA2_10667,741,1248,933,1117,613,564,655,1108,773,1075,881,667,791,1278,1194,1097
DHA2_10675,7022,6985,5620,4987,4279,4827,4647,4723,5633,6729,8515,5964,7656,7219,7328,8125
DHA2_10676,3746,3023,2929,2765,2626,2273,2214,2274,3569,3357,5259,3838,4623,2842,3553,3905
DHA2_10679,2129,1923,1406,1117,1177,1007,1918,1648,1866,1992,2798,2026,2232,1999,2173,2184
DHA2_10697,8710,9619,8910,7454,11708,9432,8233,8885,8890,10905,10073,7702,8719,8824,10062,10012
DHA2_10698,36222,35391,33435,29083,36810,37505,29446,29594,35602,45250,47766,36400,43292,36659,42958,45830
DHA2_10703,7484,13494,8356,9331,10805,14636,8049,12225,7926,14930,9786,7176,8561,12745,13178,12245
DHA2_10705,3226,2660,2817,2458,3562,3314,2004,2413,3590,3283,4327,3043,3454,2776,3195,3304
DHA2_10707,2165,3844,2654,2817,2263,2414,1883,3097,2197,4373,2778,1818,2278,3507,3679,3598
DHA2_10711,3498,5481,3682,3734,5783,6117,3701,5176,3000,5806,4352,3110,3627,5062,4377,4473
DHA2_10756,5233,8587,4642,5278,6629,8771,4294,8288,4493,10898,5488,4293,5127,6262,6542,6144
DHA2_1076,5432,4276,5702,3610,5111,3914,4243,3396,4246,4122,3875,3095,3490,3061,3264,3293
DHA2_10760,1310,1631,933,1017,1572,2000,906,1337,1448,2167,1489,1297,1447,1139,1395,1520
DHA2_10762,6541,8423,5142,5304,7638,9053,6172,7805,6710,10885,8449,6089,7376,6861,8052,7877
DHA2_10765,5178,9684,5244,6346,11886,12720,3569,6287,6075,17257,5847,4703,4935,6455,8595,7139
DHA2_10778,27707,20712,21447,17571,13552,10536,22241,17891,32406,23187,35901,27260,35258,20651,24263,30550
DHA2_10780,17784,19089,17811,10492,18840,15782,18431,14862,15206,15818,20711,13238,15050,21472,17524,17349
DHA2_10783,5876,10074,5010,5657,10515,11640,5187,8485,6071,11579,7178,5011,6126,8056,8238,7595
DHA2_10804,6431,4876,4397,4161,3974,3243,4023,3650,6860,7036,6810,4939,6104,4329,5195,5787
DHA2_10808,17406,41982,12764,12442,11146,22751,14256,20030,14406,22281,21482,15984,21517,22738,24825,27503
DHA2_10810,5970,6161,4079,3790,6319,6851,6054,6120,5292,7963,5957,4512,5958,6768,7857,6771
DHA2_10813,24108,18889,19265,16511,17044,12881,18435,16194,24999,20888,34631,25667,27147,20341,25621,25125
DHA2_10829,2431,2380,2107,1936,1976,3497,1953,2588,2037,2946,3051,2292,2387,3888,4325,2715
DHA2_10836,1653,1777,1513,1193,1491,1137,1641,1585,1485,1601,2435,1660,2001,1982,2020,2150
DHA2_10840,3284,3793,5136,3102,3902,2501,3972,2743,3048,3487,4403,3184,3144,4923,4453,3819
DHA2_10843,28092,24624,20121,18045,20903,19459,26440,24596,27302,31926,36639,25520,35854,32327,32672,38626
DHA2_10846,4096,4405,4018,3348,2862,2853,3591,4591,4040,6682,6408,4864,4970,6769,6329,5954
DHA2_10850,2362,1571,2551,1462,1784,1143,2613,1532,2127,1107,2151,1456,1814,1860,2099,1798
DHA2_10853,6364,5257,6565,5495,5129,3704,4813,4612,6574,5738,10602,7692,8548,5462,7568,7876
DHA2_10856,6830,6589,6371,5419,6118,5832,5485,5042,5483,6628,10941,7326,8821,8928,8473,9396
DHA2_10858,6777,6430,7965,7406,8353,6613,6359,5770,5729,6403,10987,7371,9296,9237,9059,9872
DHA2_10870,37398,36542,31944,28939,51650,67391,37969,41524,33107,46942,46661,33859,42663,43832,45977,43706
DHA2_10875,11117,12117,12708,12370,13176,12856,10291,12379,11011,14883,14685,10518,12234,9676,11785,12255
DHA2_10876,4832,6975,6523,6743,6919,7219,7214,8634,4995,9059,7447,5082,6208,7313,8348,7618
DHA2_10879,6276,5300,7108,7034,8822,7975,6430,6237,7949,6699,7701,6019,6146,4308,5448,5489
DHA2_10881,17924,14604,20189,20587,25400,21653,16766,15994,17750,17703,25705,16917,19362,21053,19645,20590
DHA2_10882,24513,13803,21002,15199,22953,16321,21279,13577,20747,17874,28182,20245,22195,20568,18455,22424
DHA2_10883,3365,2901,2870,2512,2828,2492,2317,2293,2944,2563,4220,3360,3933,3084,3668,4133
DHA2_10885,205207,122543,178819,160124,84210,67011,134040,112081,171600,151504,236698,184937,235827,111173,141433,175470
DHA2_10889,3181,7673,3262,3848,5900,7824,3979,6395,3153,8513,3857,2631,3038,5535,5587,4833
DHA2_10892,7791,8219,7255,6744,6842,5982,5712,7077,7763,9904,10040,8030,9335,7985,9685,9811
DHA2_10893,4638,4509,3493,3025,3502,2984,3877,3731,4299,4801,6481,4554,5490,5012,5164,5810
DHA2_10908,6920,7138,5184,4809,5047,5667,4568,5485,6180,7526,8043,5858,6746,5171,7311,7310
DHA2_10911,31270,18263,22159,17505,16964,10941,22392,15507,32579,22902,44670,32619,34743,22559,26206,32060
DHA2_10919,42665,52250,43075,28808,57684,57213,48771,47051,39814,47333,50680,32942,44298,48038,47300,49079
DHA2_10924,2059,1463,1501,1155,1404,788,1227,1264,1628,1277,2692,1873,2302,1291,1896,1840
DHA2_10943,5729,5522,5531,5386,7224,5970,4845,5234,5719,6275,5487,4179,4471,4853,5977,5543
DHA2_10969,27292,33332,25844,40774,31827,26711,25203,33137,27283,32133,24967,18138,18199,35882,44642,35819
DHA2_10976,14840,9940,10398,8923,6656,5146,11143,8095,16325,10326,20876,16081,16659,10868,13776,14684
DHA2_10979,2349,2590,1629,1581,1278,1298,1794,1885,2281,2276,2649,2117,2493,2093,2270,2550
DHA2_11043,261174,190678,189785,156048,297764,330751,248195,188682,212172,189162,204965,139379,164653,192314,187875,158067
DHA2_11044,6343,8447,5671,5760,10425,13070,7305,8551,4717,10105,5845,4315,4487,9778,9113,5986
DHA2_11052,1490,2845,1544,1808,1747,2456,1623,2379,1227,3378,1246,896,1051,2228,2114,1794
DHA2_11054,4943,4566,4185,3596,4165,3188,4836,3754,4290,4408,4241,2845,3324,3552,3701,3712
DHA2_11100,24382,19424,19861,18577,19795,16033,17878,16957,23244,24371,33216,25313,28127,21725,26075,27165
DHA2_11110,43,100,75,50,63,49,49,108,50,102,91,50,51,73,100,54
DHA2_11114,1059,1478,934,949,1162,1622,904,1126,1002,1807,1231,869,1012,983,1228,1129
DHA2_11118,203632,99681,152807,85233,96743,68933,175358,87251,188706,89337,195887,135361,169681,87103,89372,118238
DHA2_11120,818,1039,810,574,830,513,1005,746,776,1028,798,753,708,792,953,778
DHA2_11139,4289,4013,3187,2541,2975,1693,4205,3505,4286,4161,4745,3856,4692,4138,4763,5428
DHA2_11153,1889,2055,1831,1612,2242,1553,2533,2032,2067,2741,2351,1805,1904,2889,3139,2358
DHA2_11164,35048,22091,26576,18430,19261,15579,25582,19078,34553,24140,43592,32848,38574,23855,29254,32094
DHA2_11165,22717,12624,13199,10196,7342,7006,15252,10316,21135,11083,32687,22974,28894,16151,17729,22834
DHA2_11170,7552,7942,6653,6882,9558,9752,6724,8844,6695,10100,9988,6787,8232,10193,10506,9751
DHA2_11177,3400,2326,2938,2176,2534,1354,3066,2369,3485,2341,4762,3307,3816,2614,3037,3295
DHA2_11178,5395,3355,3679,2434,2756,2152,4365,2730,5076,3323,6034,4466,4764,3626,3367,4168
DHA2_11186,15637,12451,10214,7113,8344,6559,11846,10035,11729,12052,17084,12263,15414,13199,16412,16319
DHA2_111950,42315,46505,56314,44984,39804,23702,40574,38030,52489,50689,76872,54731,62039,49153,65293,47611
DHA2_11204,1410,2310,1573,1708,1858,1632,1265,1832,1356,2559,1795,1261,1439,2295,2124,2047
DHA2_112063,13953,13984,19370,18179,10605,7644,16653,14418,19789,20342,24043,17242,24148,18868,20342,29074
DHA2_112076,59487,68516,68266,64764,61870,63078,53100,57751,54567,77146,73964,50620,61518,57099,69597,65168
DHA2_112103,366858,94656,295555,79247,102153,45011,311661,67742,282579,81080,572393,462242,473344,149080,211310,171367
DHA2_112112,20662,13610,20002,17917,20287,18175,19789,16590,21665,19023,33809,22834,26555,22250,23068,25849
DHA2_11214,9497,10839,7890,6612,8135,7331,8719,8336,9699,13811,11315,8782,10525,10380,12709,12311
DHA2_11220,3296,2780,2958,2173,3098,1599,2912,2076,3723,2817,4366,3443,3603,2911,3516,3378
DHA2_112210,2283,3209,3235,3249,3472,4162,2454,3480,2229,4707,2901,1860,2185,3648,3354,3024
DHA2_112348,4753,4286,4763,4164,4141,4488,4588,3985,3594,4282,3970,2980,3557,3797,4087,3798
DHA2_11237,2640,2992,3034,2861,3054,3117,2920,3876,3367,4083,4570,3439,3660,4289,4557,4340
DHA2_112408,10660,7784,6755,5909,7317,6736,7942,6903,10285,8557,17179,12354,13683,9366,11033,11786
DHA2_11246,2355,2713,3339,2671,4130,2955,4073,3565,3474,3174,3941,2920,3252,4013,4110,3772
DHA2_11247,45790,37320,60505,37648,64025,58224,62152,48583,47457,42111,70795,45980,60640,60148,52798,58599
DHA2_11248,2004,2370,2362,2476,2878,2797,1577,3232,2948,3885,3677,2802,3051,2744,3332,3155
DHA2_112718,5933,3374,4219,3152,2752,1785,3099,2832,4764,3286,7286,5243,6795,3856,4921,5629
DHA2_112729,7833,9688,5045,5953,5704,8264,5496,10296,7646,15501,10325,7770,8663,7442,9660,8704
DHA2_112787,9486,5371,6575,5395,6857,3752,7564,4933,9285,5237,13917,9244,11459,6496,7040,8835
DHA2_112811,9265,9510,6881,7130,10601,11482,7860,9614,8998,13056,10870,8196,9627,9953,10805,10239
DHA2_112846,44806,69825,51269,70317,53140,62427,34724,61655,45602,99107,57664,40114,49838,62407,65644,71333
DHA2_11287,2879,3141,2432,1858,2895,2030,3444,2695,2714,3389,3682,2493,3523,3341,4076,3577
DHA2_112870,2471,1831,1932,1113,1583,1182,2437,1332,2074,1521,2623,1786,1850,2393,2050,1971
DHA2_112885,10639,6511,13678,7371,6920,4238,9775,5928,9177,6495,10330,7135,8405,8532,7963,9107
DHA2_112893,3775,4666,3367,3276,3452,3814,2674,3575,3166,4922,4531,3347,3914,4296,4439,4575
DHA2_11290,5260,6268,4279,4985,4534,4306,3184,3794,4837,5835,5406,3407,3793,5187,5093,5496
DHA2_112932,5652,7682,6963,6839,6533,6490,5743,6352,5387,7670,6738,4953,5439,7347,6952,7249
DHA2_112978,16776,24472,16486,16218,12627,14263,13140,16564,16486,17875,30130,18321,22654,22080,25765,23800
DHA2_11301,23679,19319,19929,15956,23001,18680,24441,16498,19796,18157,21367,15082,17062,23782,22168,20229
DHA2_113021,6991,9920,6614,7197,7845,7246,5123,7494,3737,5367,6230,4690,5293,5354,6724,6456
DHA2_113023,2340,1689,1261,1164,1595,1226,1201,1134,890,734,2122,1609,2026,1158,1443,1619
DHA2_11311,16353,10223,9645,7129,7690,7486,12079,8354,15903,13025,22006,14559,18245,13741,13469,17735
DHA2_11312,1261,687,953,529,890,660,884,501,1367,896,1496,1203,1386,786,880,1055
DHA2_113133,32979,29144,20717,21245,13788,17670,21466,22449,26260,33064,47922,33613,50527,34574,36602,49728
DHA2_11319,5913,6713,4373,3856,4983,5853,5576,5150,5569,7212,5547,5171,5192,6109,6478,6228
DHA2_11321,26917,18223,22833,18447,21262,15804,19894,16724,28935,24494,40379,29173,32031,23472,26321,27141
DHA2_113284,6000,5259,5980,4842,4699,3673,5388,3967,4982,4594,9917,6984,8354,8515,8877,9485
DHA2_11341,614,422,612,421,359,252,615,324,550,365,846,555,600,478,510,460
DHA2_11342,5111,4696,4840,3718,5148,4690,5528,3907,4970,4452,5943,4090,3946,5206,4225,4737
DHA2_113522,16904,20345,18055,19325,17610,13911,13062,16066,13970,19401,15441,10500,11688,13704,15390,13544
DHA2_11354,65030,60747,67031,53104,60710,67474,63211,51987,65287,67762,71249,52222,63712,71444,74407,69659
DHA2_113553,101174,93297,83289,73624,80637,108771,74614,82383,80238,106479,90942,72922,84705,78054,86670,86816
DHA2_113554,18765,20364,14962,13809,15269,17490,13457,14546,13873,19488,17580,13761,15778,15083,18352,17812
DHA2_11359,72764,75359,71680,49551,72578,59865,77157,66874,78241,79102,81641,58783,79785,68913,72402,79050
DHA2_113622,65921,40286,44472,28116,13716,13318,35933,22172,59105,34409,70037,62138,71100,35497,48202,54261
DHA2_11364,13939,8777,11757,10135,16013,9848,11843,8374,15006,9601,21208,14448,16867,14088,13261,16073
DHA2_113662,9020,5242,5739,4560,4131,3130,5683,4255,7715,5538,8578,6169,7166,4015,4508,5241
DHA2_113673,17158,7695,14957,8196,5784,3054,8764,4243,17868,8903,16967,14960,14825,5133,8082,7753
DHA2_113677,87172,53978,58992,42512,24481,20066,28425,25131,49128,32812,72424,58436,71006,24640,41201,38402
DHA2_113788,2516,4614,4019,4114,4604,4436,4174,4809,2675,4458,2769,1795,1799,5693,4696,3381
DHA2_113793,8997,6426,5044,4405,6315,5141,4327,4013,6196,6791,7001,5214,6400,5005,5400,7002
DHA2_11381,3666,4902,2372,2893,2895,3997,2108,3759,2876,5082,4412,2966,3745,3590,4355,4019
DHA2_11383,3904,4805,3633,3530,4974,4817,3725,4763,3435,4830,4222,3378,3622,3721,4668,4655
DHA2_11384,5471,7231,5695,6210,6132,5842,4773,6752,5654,7097,5775,5098,5356,5504,7066,6314
DHA2_113876,15744,8638,10109,7412,6252,3537,8200,6109,14583,10072,16484,12749,13702,7540,10251,10793
DHA2_11389,17333,27466,12664,12827,7970,13161,9781,15123,13513,21328,18619,14422,16781,16911,21888,21340
DHA2_113892,27068,24149,22502,19415,18532,19336,18714,18009,27688,31377,31920,23926,31280,25386,28708,33533
DHA2_11397,24504,16842,14198,11643,15039,14545,15942,13536,22656,28331,27297,19543,23986,22819,23211,23474
DHA2_113971,5101,6419,3996,4382,4510,6570,4141,6253,4136,7511,5623,4201,5969,5733,6224,7137
DHA2_113995,570,381,445,359,375,281,358,328,509,449,564,401,506,351,429,442
DHA2_114199,4601,5447,3702,3757,6334,7576,4935,5163,4239,5835,4223,2927,3720,3736,3553,3562
DHA2_114209,12963,13744,11551,10260,9073,6914,10095,8607,12063,11099,13200,9227,9880,7347,9885,8368
DHA2_114218,7919,6576,6893,5329,6280,5200,6675,5228,8534,7789,7896,6223,7743,5448,6455,7501
DHA2_114246,12248,8809,7971,7219,8323,6859,8847,7370,12546,9866,15879,11427,14399,11466,11790,14089
DHA2_114307,20593,20897,15959,15743,27651,26992,15908,20461,20184,28185,23218,19779,18979,18139,22962,19640
DHA2_11434,7272,10754,6754,6341,9904,13301,6314,9223,5663,11331,8671,6213,7270,10660,10084,8867
