Geneid,2_CK_7U,2_CM_7U,24_CK_4,24_CM_4,40_CK_2,40_CM_2,41_CK_3,41_CM_3,8_CK_7,8_CM_7,BER_CK_1,BER_CK5,BER_CK6,BER_CM_1,BER_CM5,BER_CM6
DHA2_27520,7547,7897,6699,6172,8356,7999,5769,6301,6018,8002,8804,5946,7889,7170,7355,9166
DHA2_27614,5913,4152,4522,2763,3651,3113,5314,3215,4885,3330,4732,3826,3499,3986,4245,4115
DHA2_27699,238,160,169,144,168,76,113,137,173,181,250,221,232,169,202,229
DHA2_27747,852,1045,939,740,1049,753,1231,1192,816,1166,901,733,731,1321,1452,1143
DHA2_2777,1236,1380,1241,982,1217,915,1343,1171,1249,1525,1528,1059,1344,1521,1418,1518
DHA2_2779,5828,4152,3418,2743,2669,2299,4599,3068,5584,4011,8801,6212,6493,4750,4786,5971
DHA2_27827,3309,5137,3287,3280,5416,5104,3736,4053,2682,3666,2594,1720,1995,2945,2912,2603
DHA2_27896,18217,10424,14302,9818,7883,5413,9001,5995,16710,9270,25289,18155,22140,12112,14439,15916
DHA2_27910,797,460,838,601,996,737,698,478,708,540,1350,907,1074,951,909,1024
DHA2_27918,6201,5255,5423,2991,3844,3579,6465,4393,2837,2462,4470,3672,3222,4783,5122,3847
DHA2_27925,219608,139669,141259,84397,45704,57426,123263,79210,216593,96896,221041,178921,232513,116712,144705,176405
DHA2_2796,8856,11569,9880,9108,9607,10596,7216,8728,7657,12806,12409,8914,11042,12663,12996,12941
DHA2_28064,1127,1903,1429,1519,1805,2481,1299,2159,1223,3425,1399,963,1107,1814,2030,1620
DHA2_2812,883,914,670,585,499,359,634,745,820,1238,906,772,879,594,916,897
DHA2_28234,9564,9270,8278,6032,8669,9294,8493,7276,7758,10393,9206,6497,7315,8195,8318,7984
DHA2_2825,4660,6298,4265,3498,5492,5026,5299,5726,4355,6113,4994,3580,4214,5373,5935,5920
DHA2_2833,1546,1318,1230,927,1148,1054,1154,1069,1469,1805,3381,2542,3001,1869,2661,2768
DHA2_28379,37295,38648,24941,24610,41771,63827,20883,33344,23884,43001,30888,21608,24374,28159,28697,28607
DHA2_2851,3039,3903,3838,3631,3967,3390,3509,3702,3571,5035,4242,3041,3262,3952,4064,3830
DHA2_28526,2583,4303,3101,2815,4863,4777,3928,4541,2842,4845,3232,2207,2595,4542,4360,3363
DHA2_28614,534,311,598,252,519,368,615,277,355,210,577,418,491,391,402,349
DHA2_2864,8844,9380,7888,7605,7670,7712,7462,7659,10677,10737,12656,8501,9786,10276,9855,10786
DHA2_28666,2370,2693,1700,1663,1393,1662,1510,2388,2002,3354,2009,2124,2284,1901,2839,2471
DHA2_28696,1698,1618,2254,1308,1293,1375,1828,1335,1925,2009,2480,2102,2006,2335,2243,2060
DHA2_28699,5538,4677,3598,2456,4234,3516,5235,3746,3843,3651,5001,3583,4873,4597,4652,5372
DHA2_28954,3723,3124,3926,3167,2731,1905,3074,2575,3451,3593,6198,4556,5286,4321,4705,5552
DHA2_2897,4099,3295,3688,3049,3629,2441,4088,3190,4585,3545,5751,4250,5096,3313,4052,4253
DHA2_2925,8289,7346,7687,6120,9472,7227,7672,5554,7722,6258,9716,6553,7653,6641,7216,6607
DHA2_29307,14093,9242,10166,7628,8940,4321,10733,7431,14782,9500,17830,13221,14937,11583,13351,14043
DHA2_29327,13428,20991,14016,15356,15108,18987,13639,18653,11874,30488,16951,12568,13733,21013,22439,20317
DHA2_2933,6699,6714,6299,5270,7547,5516,7277,6434,7744,11102,9097,6802,8068,8421,9135,9273
DHA2_29436,13628,10880,10905,9757,9707,8688,9223,9967,11652,11860,17102,11860,14819,12020,13090,14605
DHA2_29487,40790,46243,32120,25702,73758,60718,41721,38161,47510,68994,37710,25369,27060,41390,37310,35910
DHA2_29490,10799,10292,7727,6598,9088,9227,8758,7806,9288,10545,12664,8930,10413,10859,11292,11361
DHA2_2964,5369,4774,3783,2711,3499,2639,4928,3827,4824,4635,5179,3891,4798,4131,4671,4679
DHA2_2970,10661,12848,9896,8673,12068,11956,8990,9674,9453,13580,12275,8601,11589,11215,12471,13140
DHA2_29772,18894,9913,15058,11420,10604,7605,11436,7722,15377,9174,15444,10540,12160,7489,7859,9253
DHA2_29796,10743,21529,7202,7847,6099,11638,9073,12169,4914,5252,10331,7512,9950,8816,10501,11037
DHA2_2980,9124,12119,7348,6857,9241,12488,7837,10102,7337,13836,10361,7749,9946,10702,11799,11881
DHA2_3021,5326,4722,5276,4178,5632,3996,4739,3784,4013,4036,5149,3993,4439,4684,4832,4835
DHA2_3032,9408,10351,7211,6623,8832,8862,7583,8905,8531,11343,10631,8677,9790,9961,11224,11105
DHA2_3036,3677,5691,3312,3354,3495,3291,3654,4516,3447,5175,3673,3058,3248,4517,5148,4659
DHA2_3042,63712,53362,82785,58489,72320,68154,84437,79469,93493,100555,95020,64871,66056,63738,64753,50425
DHA2_30448,3607,2885,3112,3028,2653,2097,2912,3092,3542,3751,4090,3188,3740,3023,3728,3964
DHA2_30476,6714,5782,9852,7766,10846,8215,8232,6507,11447,10859,14588,11098,12562,10428,11855,13714
DHA2_3063,3125,2821,2798,2244,2789,2026,1967,2061,2864,2651,3094,2618,2620,2575,2771,2793
DHA2_30851,2982,2834,3766,2612,2443,2261,4580,3022,4048,4141,4458,2940,3032,4378,4014,3660
DHA2_3095,5521,5460,5063,3366,4911,4326,6281,4263,5184,5587,4699,3784,4028,5138,5613,4463
DHA2_3114,1817,1771,2581,2130,1920,1425,1772,1666,1912,1772,1631,1298,1429,1326,1515,1484
DHA2_31295,3967,4665,4016,4406,3843,2808,3023,3910,3101,4232,5360,3308,3902,4746,5116,5195
DHA2_31309,17206,12633,10578,11333,9375,8220,11089,10224,12831,14605,16862,12790,13916,15963,16868,17627
DHA2_31339,2628,2479,2258,2753,2950,2630,2260,1849,1831,1908,2754,1846,1973,2581,2368,2575
DHA2_31530,3490,2893,2532,2236,2206,1981,1995,1875,3322,3434,4579,3278,3802,3224,3883,3916
DHA2_3154,1506,1537,1239,901,1080,1156,1540,1064,1411,1447,1546,1277,1389,1346,1578,1463
DHA2_3158,5314,3624,3980,2391,3643,2585,4812,2692,3686,2450,5590,3803,4266,4079,3903,4302
DHA2_31617,1029,782,767,578,842,579,770,425,839,815,1098,764,866,860,870,940
DHA2_31671,4022,3885,4129,2954,3939,3079,2718,2821,3175,3297,4185,2980,3421,3123,3167,3101
DHA2_3171,2140,2295,2346,1910,2736,1850,2692,2209,2067,2044,2736,2008,2329,2601,2818,2555
DHA2_31998,12386,11260,8666,8792,9010,10289,8672,9886,13161,15411,17323,13050,14759,11511,12138,14520
DHA2_3202,2037,1088,1523,1125,1003,646,1487,775,1927,1310,2528,1956,1981,1399,1584,1737
DHA2_3206,63435,35268,49308,31727,45881,26199,48644,26683,45137,28215,51244,32612,39504,27671,27222,32921
DHA2_3209,5963,6405,6121,4519,6614,6385,6860,5805,5305,7630,8029,5134,6094,8139,7841,7295
DHA2_3211,2681,4557,3138,2886,5987,5785,2995,4043,3039,5743,3465,2550,2693,3482,4116,3479
DHA2_32312,15941,11760,11329,8858,10000,8097,11698,9842,14567,14059,15653,13585,13938,10918,12990,13273
DHA2_3255,1368,1903,1742,2385,2317,2973,1304,2041,1192,2835,1144,981,1012,1912,2245,1298
DHA2_32657,2653,2941,2443,1884,2801,2041,2108,1655,2465,2633,3263,2569,2799,2804,3010,2811
